Ritz wavelength (nm),Ag I (7.1e-02),Ag II (9.3e-01)
193.349457,,1.220e+3
199.431719,,2.165e+3
200.068449,,1.615e+3
201.590491,,1.261e+3
203.392686,,8.640e+2
206.116209,8.139e+2,
206.591012,,4.338e+3
207.554294,,3.995e+1
211.382492,,3.871e+4
212.044026,,6.313e+3
212.079682,,3.403e+1
212.542016,,1.209e+2
212.903279,,2.418e+1
214.553088,,4.838e+1
214.560925,,1.289e+4
214.57073,,3.227e+2
216.603582,,6.120e+3
216.650863,,5.227e+3
217.078956,,7.971e+1
218.676813,,9.349e+3
220.203378,,2.892e+2
220.355647,,4.344e+1
220.429876,,3.164e+1
220.587428,,1.985e+2
220.840106,,6.045e+1
221.958792,,6.002e+1
222.600217,,6.080e+1
222.951923,,1.109e+4
224.032091,,4.311e+1
224.050161,,8.688e+0
224.172144,,2.917e+1
224.344833,,2.057e+1
224.610646,,8.017e+2
224.641194,,9.138e+4
224.874886,,2.760e+4
225.336124,,2.790e+2
225.736061,,7.500e+3
226.57895,,9.090e+0
227.517817,,2.174e+2
227.730639,,8.475e+1
227.998107,,1.170e+4
229.595369,,4.933e+1
231.703405,,1.463e+4
231.706521,,9.304e+1
232.024495,,2.677e+4
232.143249,,7.975e+1
232.373861,,6.363e+0
232.433966,,3.952e+1
232.466678,,1.838e+4
232.494655,,9.812e+2
233.136629,,1.966e+4
235.79168,,5.658e+3
235.875114,,4.153e+2
236.207464,,1.486e+2
236.388381,,2.938e+2
236.557671,,9.544e+1
237.356965,,1.843e+1
238.310093,,3.453e+1
239.042948,,2.163e+1
239.279697,,1.837e+1
240.244634,,7.447e+1
240.487569,,4.094e+1
241.134524,,1.031e+4
241.149491,,8.322e+1
241.318805,,4.596e+4
241.995662,,2.038e+2
242.246271,,1.654e+1
242.951294,,4.025e+2
243.778303,,5.806e+4
244.409897,,8.988e+1
244.621139,,7.940e+0
244.7896,,8.014e+3
245.321679,,3.042e+2
246.016505,,6.667e+1
246.114111,,7.034e+0
246.212763,,6.353e+1
247.279659,,5.218e+1
247.379016,,6.404e+3
247.666649,,1.096e+1
247.712763,,2.634e+2
248.028243,,9.929e+1
248.565135,,3.162e+1
248.655645,,1.176e+1
250.390081,,4.198e+1
250.659265,,1.668e+3
250.662912,,1.712e+1
250.709088,,2.042e+1
256.423336,,2.829e+1
256.700514,,1.837e+1
258.057394,,2.309e+2
259.549481,,2.057e+1
260.597632,,5.645e+1
261.439778,,6.206e+1
262.551592,,2.467e+1
265.680863,,1.638e+1
266.044959,,1.183e+3
268.119759,,7.696e+1
271.10783,,1.786e+1
271.187292,,3.763e+2
274.376993,,3.722e+1
275.627291,,1.469e+2
276.752728,,2.210e+3
279.947573,,1.283e+2
281.533114,,5.217e+1
285.060148,,1.176e+1
287.341884,,4.837e+1
289.627093,,6.172e+1
290.186068,,5.515e+1
291.982822,,2.738e+1
293.402078,,1.355e+2
293.831975,,3.848e+1
326.956087,,2.565e+1
328.06843,3.436e+5,
338.288781,1.788e+5,
441.196,,3.631e-1
513.72469,,1.160e+0
514.28157,,5.039e+0
520.9078,1.911e+4,
531.24574,,1.752e+0
533.25049,,2.210e+0
534.00267,,4.613e+0
536.27883,,1.895e+0
539.24682,,4.920e+0
540.01037,,2.961e+1
540.31323,,2.506e+1
541.19338,,3.353e+0
542.40509,,4.673e+0
546.54853,3.278e+4,
547.15428,3.567e+3,
547.86589,,2.093e+0
548.81562,,8.617e+0
549.38302,,2.412e+0
554.32121,,1.775e+0
555.19264,,1.172e+1
555.81412,,1.200e+0
557.38257,,3.535e+0
557.96782,,3.187e+0
558.84183,,1.752e+0
558.97829,,5.943e+0
561.0607,,4.419e+0
562.2482,,1.899e+1
793.019,,2.170e+0
795.708,,8.660e-1
800.51861,,1.520e+1
809.517,,6.936e-1
825.47772,,5.600e+0
826.2875,,4.378e+0
828.7277,,4.939e+0
829.732,,3.286e+0
832.4707,,1.360e+1
837.9578,,8.766e+0
840.38336,,2.602e+1
849.2661,,1.028e+1
854.187,,1.695e+0
870.539,,5.301e+0
872.637,,1.740e+0
874.8307,,4.596e+0
877.5306,,5.556e+0
900.136,,1.314e+1