Ritz wavelength (nm),Ar I (9.5e-01),Ar II (4.7e-02),Ar III (4.7e-09)
191.44119,,,2.455e-12
191.466991,,,4.365e-13
191.55768,,,1.313e-12
191.8068,,,5.718e-13
191.95206,,,4.433e-13
224.2321,,,1.109e-14
224.87513,,,8.573e-15
228.22221,,,2.471e-14
229.718,,,8.534e-15
231.774598,,2.124e-5,
234.519667,,,4.702e-14
248.41053,,,8.416e-14
249.99661,,,5.611e-15
250.89084,,,5.774e-14
253.39011,,,4.362e-14
263.18633,,,4.162e-14
263.23751,,,1.407e-14
266.01862,,,1.400e-14
267.78246,,,1.350e-14
267.83544,,,6.380e-14
272.4788,,,1.069e-13
274.38524,,,1.370e-14
294.289308,,9.316e-4,
297.905007,,3.393e-4,
300.044527,,2.076e-4,
302.39806,,,1.045e-13
302.70864,,,1.845e-14
302.891399,,3.184e-4,
303.350811,,1.740e-4,
303.68767,,,1.227e-15
305.4775,,,5.477e-14
306.4745,,,1.753e-14
307.81323,,,2.454e-14
309.340173,,9.314e-4,
313.901722,,2.222e-4,
316.137289,,2.492e-4,
316.966803,,2.094e-4,
318.103714,,1.110e-4,
319.423023,,7.320e-5,
320.432086,,7.201e-5,
323.681049,,9.362e-5,
324.368806,,1.645e-4,
324.979976,,1.891e-4,
326.357059,,4.727e-5,
327.331709,,3.614e-5,
328.170092,,6.541e-5,
328.58413,,,6.547e-12
329.364009,,3.061e-4,
330.18546,,,4.763e-12
330.722825,,3.321e-4,
331.12423,,,2.888e-12
333.617463,,,5.611e-13
334.475673,,,3.998e-13
335.092386,,1.226e-4,
335.211793,,,4.886e-14
335.853046,,,2.585e-13
336.130589,,,4.847e-14
336.552028,,1.062e-5,
336.657996,,4.004e-5,
337.643578,,1.654e-4,
337.957698,,1.799e-5,
338.853072,,3.421e-4,
339.18445,,,3.698e-15
341.445796,,6.739e-6,
342.161032,,3.974e-5,
342.42283,,,1.209e-15
342.961434,,1.926e-5,
343.041507,,3.565e-5,
343.80172,,,1.207e-15
345.409498,,1.282e-4,
346.412673,,1.450e-4,
347.256675,,,5.091e-14
347.674711,,7.838e-4,
348.050191,,,4.073e-13
349.124373,,7.310e-4,
349.15356,,1.961e-3,
349.8248,,,9.551e-16
349.8319,,,9.942e-16
349.966922,,,1.462e-13
350.057415,,,4.879e-14
350.268291,,,4.837e-14
350.35894,,,2.252e-13
350.977794,,5.076e-4,
351.166713,,,4.879e-14
351.438733,,8.528e-4,
351.999331,,2.459e-4,
352.12599,,1.513e-4,
353.531929,,2.328e-4,
354.559516,,1.332e-3,
354.584315,,5.206e-4,
354.851395,,2.653e-4,
355.95078,,1.656e-3,
356.103016,,6.667e-4,
356.219111,,2.002e-5,
356.502938,,1.651e-4,
357.661538,,1.833e-3,
358.160797,,5.368e-4,
358.235434,,1.196e-3,
358.844021,,2.697e-3,
362.213719,,1.486e-4,
363.983244,,1.225e-4,
365.088923,,5.476e-5,
365.527776,,9.013e-5,
365.60494,,3.594e-5,
366.043646,,1.309e-4,
367.100424,,2.132e-5,
367.826948,,1.271e-4,
368.00605,,6.744e-5,
371.717101,,3.466e-5,
371.820606,,1.634e-4,
372.042586,,8.640e-5,
372.451602,,2.778e-5,
372.93081,,3.368e-3,
373.78889,,2.536e-4,
376.350501,,1.116e-4,
376.526969,,8.076e-4,
377.051925,,2.084e-4,
378.083953,,6.536e-4,
379.659302,,2.188e-5,
379.938187,,6.943e-5,
380.317205,,1.313e-4,
380.945576,,3.626e-4,
382.567243,,4.520e-5,
382.680692,,1.762e-4,
384.151838,,5.354e-5,
385.058079,,2.716e-3,
386.852819,,5.982e-4,
387.213701,,6.126e-5,
388.033288,,4.618e-5,
390.062636,,4.515e-5,
392.571849,,1.311e-4,
392.862282,,1.712e-3,
393.254638,,2.791e-4,
394.609692,,1.966e-4,
395.272882,,6.344e-5,
397.935543,,1.526e-4,
399.479193,,1.161e-4,
401.38561,,2.365e-3,
403.380915,,2.275e-4,
404.289342,,6.200e-4,
405.292057,,1.016e-4,
407.200431,,1.321e-3,
407.662819,,1.857e-4,
407.694294,,2.040e-4,
407.957339,,1.817e-4,
410.383222,,5.932e-4,
410.391181,,9.889e-4,
413.172327,,6.933e-4,
415.608541,,1.982e-4,
415.8591,3.267e+0,,
417.929704,,1.071e-4,
419.8317,1.144e+0,,
420.0675,3.265e+0,,
421.86648,,1.643e-4,
422.263701,,1.421e-4,
422.698745,,5.759e-5,
422.815775,,1.838e-3,
423.721956,,1.969e-4,
425.9362,1.507e+0,,
426.652661,,2.623e-3,
427.515959,,1.186e-4,
427.752786,,1.406e-3,
433.119915,,5.757e-3,
433.202953,,1.306e-3,
433.3561,1.134e+0,,
433.707046,,3.183e-5,
434.806354,,2.637e-2,
435.220472,,1.442e-3,
437.075295,,1.008e-3,
437.132854,,3.143e-3,
437.595402,,7.156e-4,
437.966649,,4.875e-3,
440.009637,,2.275e-3,
440.098598,,6.737e-3,
441.290323,,2.642e-4,
442.60008,,1.307e-2,
443.018862,,5.707e-3,
443.099589,,2.416e-3,
444.887916,,9.130e-5,
447.475916,,2.365e-4,
448.181045,,1.036e-3,
454.505166,,3.654e-3,
456.44054,,6.732e-5,
457.934934,,2.793e-3,
458.989759,,2.192e-3,
460.956692,,3.418e-3,
463.723239,,2.344e-4,
465.79009,,3.696e-3,
472.159064,,7.623e-5,
472.686807,,5.066e-3,
473.590548,,8.248e-3,
476.486444,,4.965e-3,
476.8673,7.553e-1,,
480.602014,,1.729e-2,
484.780955,,5.776e-3,
486.591056,,1.236e-4,
487.6261,7.255e-1,,
487.986345,,1.155e-2,
488.7947,7.299e-1,,
488.904194,,7.873e-4,
493.320891,,2.048e-3,
496.507942,,3.395e-3,
500.93342,,3.347e-3,
501.716264,,6.833e-4,
506.0079,5.739e-1,,
506.203703,,3.171e-3,
514.17826,,3.508e-4,
514.530815,,1.695e-3,
516.2285,1.221e+0,,
518.7746,1.495e+0,,
522.127,1.472e+0,,
525.2787,6.992e-1,,
542.1351,6.087e-1,,
549.5873,3.183e+0,,
550.6112,5.196e-1,,
555.8702,1.804e+0,,
557.2541,9.784e-1,,
559.7476,5.111e-1,,
560.6733,1.710e+0,,
565.0704,8.433e-1,,
570.0872,8.515e-1,,
573.9519,9.272e-1,,
583.4264,5.634e-1,,
588.8584,1.569e+0,,
591.2085,9.147e-1,,
592.8812,7.988e-1,,
602.515,5.492e-1,,
603.2127,5.662e+0,,
604.3223,2.591e+0,,
610.5635,1.290e+0,,
611.492319,,8.663e-4,
614.5441,1.127e+0,,
617.0174,6.081e-1,,
617.227751,,6.602e-4,
617.3096,8.310e-1,,
621.2503,6.732e-1,,
621.5939,6.176e-1,,
629.6873,9.751e-1,,
630.7657,7.624e-1,,
641.6307,1.986e+0,,
663.822027,,1.374e-3,
664.369734,,3.311e-3,
668.429254,,1.711e-3,
675.2834,3.638e+0,,
687.1289,3.245e+0,,
693.7664,1.219e+0,,
696.543,2.979e+1,,
703.0251,4.571e+0,,
706.7217,3.024e+1,,
706.8735,2.035e+0,,
720.698,2.121e+0,,
727.2935,8.517e+0,,
731.1716,1.730e+0,,
731.6005,8.209e-1,,
735.33,2.439e+0,,
737.2117,6.354e+0,,
738.398,6.764e+1,,
743.5368,1.541e+0,,
750.3868,5.996e+1,,
751.4651,6.555e+1,,
758.93149,,7.508e-4,
763.5105,2.221e+2,,
772.376,2.882e+1,,
772.4207,5.445e+1,,
789.1075,1.791e+0,,
794.8176,9.057e+1,,
800.6156,4.443e+1,,
801.4785,9.106e+1,,
805.3308,1.004e+0,,
810.3692,1.386e+2,,
811.5311,4.611e+2,,
826.4521,7.121e+1,,
840.8209,1.775e+2,,
842.4647,2.105e+2,,
852.1441,6.768e+1,,
860.5776,1.960e+0,,
862.046,1.074e+0,,
866.7943,1.347e+1,,
876.1686,1.791e+0,,
912.2967,1.340e+2,,
919.4638,3.241e+0,,
922.4498,4.533e+1,,
929.1532,2.029e+0,,
935.4218,5.875e+0,,