Ritz wavelength (nm),Ba I (7.7e-03),Ba II (7.3e-01)
189.2505,,5.698e+2
192.4671,,1.850e+3
195.4272,,9.181e+2
198.57548,,1.192e+3
199.95465,,7.675e+3
202.40564,,2.860e+3
205.27516,,1.960e+3
207.99753,,3.856e+2
215.39337,,3.306e+3
220.08852,,6.047e+2
223.27858,,5.363e+3
223.53793,,5.932e+2
224.56883,,6.632e+3
225.47778,,1.075e+4
228.59895,,1.099e+3
252.84078,,1.573e+4
254.2992,2.699e+1,
259.66357,8.736e+1,
263.47799,,2.468e+4
264.13711,,2.736e+3
264.72608,,3.211e+3
270.26331,2.195e+1,
277.1353,,5.612e+3
278.52784,2.816e+1,
307.15842,6.396e+2,
350.11076,8.744e+2,
389.1779,,2.756e+5
390.99092,9.639e+2,
393.57167,1.292e+3,
393.78682,2.164e+2,
399.33989,1.941e+3,
399.56552,2.419e+2,
413.06491,,4.048e+5
416.60013,,4.496e+4
421.6129,,2.231e+2
423.9555,2.080e+2,
424.2605,9.036e+1,
426.4417,1.543e+2,
426.7923,,3.240e+3
428.3097,1.734e+3,
430.9265,,5.200e+3
432.3003,1.499e+2,
432.5108,1.521e+2,
432.5726,,3.705e+2
433.2915,1.543e+2,
435.0326,1.041e+3,
440.2538,4.844e+2,
440.6832,1.614e+2,
443.1894,1.378e+3,
446.7091,1.549e+2,
448.898,6.659e+2,
449.3638,3.407e+2,
450.5924,1.263e+3,
452.3167,1.665e+3,
452.4926,,6.574e+4
455.4033,,2.762e+6
457.3853,4.825e+2,
457.9638,1.256e+3,
459.1824,4.927e+1,
459.9717,1.660e+2,
460.4983,4.888e+1,
461.992,3.474e+1,
462.8331,1.133e+2,
467.3619,2.002e+2,
469.1614,1.837e+3,
470.0422,7.850e+1,
470.8904,,5.050e+2
472.6434,5.025e+2,
484.3475,,8.320e+2
489.9927,,1.031e+5
490.2848,6.949e+1,
493.4077,,1.462e+6
495.7095,,7.982e+3
501.2952,,1.047e+4
536.134,,7.549e+2
539.159,,1.044e+3
551.9044,1.808e+3,
553.5481,1.092e+4,
577.7619,3.522e+3,
578.4043,3.768e+2,
578.4151,,1.546e+3
580.0226,7.611e+2,
580.5681,7.954e+1,
582.6274,1.124e+3,
585.3675,,1.493e+5
590.7637,2.069e+2,
597.1698,9.194e+2,
598.1262,,2.507e+3
599.7087,9.961e+2,
601.947,9.679e+2,
606.3114,1.992e+3,
608.3394,4.386e+1,
611.0783,5.746e+3,
612.9233,2.429e+1,
614.1713,,1.025e+6
634.168,1.053e+3,
637.8918,,6.487e+2
645.0851,7.542e+2,
648.2908,3.182e+3,
649.6898,,4.757e+5
649.876,4.903e+3,
652.7311,2.263e+3,
659.5326,1.631e+3,
667.527,8.110e+2,
669.3842,1.001e+3,
676.948,,2.874e+4
686.5686,4.482e+2,
687.4078,,6.397e+4
705.9943,6.793e+3,
712.0331,9.036e+2,
719.5229,1.883e+2,
728.0296,3.738e+3,
739.2406,6.051e+2,
748.8075,8.528e+2,
761.0478,7.542e+1,
767.2085,1.396e+3,
778.0479,7.075e+2,
787.7798,5.074e+1,
790.5747,8.740e+2,
791.133,5.358e+1,
855.9998,1.643e+3,
871.0768,,4.702e+4
873.7751,,3.362e+4
889.7462,,2.273e+3
937.012,7.075e+2,
960.3115,,9.486e+3