Ritz wavelength (nm),Cd I (8.0e-02),Cd II (9.2e-01)
192.2237,,1.583e+3
196.5551,,4.817e+1
199.5439,,1.534e+3
200.7496,,1.348e+3
209.5999,,5.291e+2
214.4393,,2.121e+6
215.5053,,1.808e+2
219.4551,,1.526e+4
220.9668,,1.204e+3
225.1538,,6.546e+2
226.5019,,1.213e+6
228.80227,4.274e+5,
231.2753,,2.309e+4
232.1051,,2.832e+3
237.6828,,1.732e+3
257.2928,,4.972e+3
274.8547,,9.543e+3
283.689991,1.540e+3,
288.076727,3.846e+3,
288.122468,1.320e+3,
298.06204,7.556e+3,
298.13623,1.374e+3,
326.10546,1.648e+3,
340.36521,8.763e+3,
346.61996,2.273e+4,
346.76544,7.625e+3,
349.5432,,7.388e+1
361.0509,3.439e+4,
361.28724,6.629e+3,
414.03021,3.165e+2,
466.2352,5.178e+2,
467.815,3.990e+3,
479.99121,1.258e+4,
502.548,,1.072e+2
508.58214,1.719e+4,
533.748,,6.810e+2
537.813,,9.592e+2
643.84695,1.157e+4,
806.687,,6.644e+2
853.026,,2.629e+2