Ritz wavelength (nm),Cu I (8.6e-02),Cu II (9.1e-01)
194.459601,,4.822e+3
197.995579,,2.326e+4
198.98548,,1.470e+4
199.018009,,1.218e+2
199.953361,,3.356e+1
199.969754,,8.630e+4
201.298041,,4.244e+2
201.558222,,2.963e+3
202.43252,6.960e+2,
202.43383,1.392e+3,
202.548775,,1.648e+4
202.713416,,8.200e+1
202.994908,,6.127e+1
203.103598,,5.763e+2
203.585327,,5.549e+4
203.692001,,1.099e+2
203.712668,,5.510e+4
204.380148,,6.577e+4
204.767825,,5.881e+1
205.425263,,1.253e+2
205.441739,,1.528e+2
205.497836,,5.035e+4
206.242011,,1.984e+2
206.626109,,1.261e+2
206.993487,,3.465e+1
207.866153,,5.568e+2
208.527476,,7.820e+1
208.791817,,5.798e+2
208.796987,,4.281e+2
209.363705,,1.685e+2
209.830677,,1.273e+2
209.839724,,4.400e+2
210.479586,,2.349e+4
211.129323,,1.120e+2
211.209946,,4.938e+4
211.730874,,1.655e+3
212.297858,,5.331e+4
212.510507,,3.979e+2
212.526686,,5.905e+1
212.604362,,5.263e+4
213.008459,,1.011e+2
213.43403,,2.188e+3
213.598004,,3.551e+5
214.549206,,1.007e+2
214.691894,,1.310e+2
214.894587,,1.307e+2
214.898283,,5.484e+4
215.180815,,4.265e+2
216.13199,,4.280e+2
216.50934,1.163e+4,
217.498126,,8.552e+2
217.89488,1.996e+4,
217.940994,,8.025e+4
218.142461,,3.313e+1
218.17253,1.093e+4,
218.28578,,6.127e+1
218.962971,,4.214e+4
219.226753,,1.745e+5
219.568192,,8.842e+2
220.050822,,1.879e+2
220.980507,,3.565e+2
221.026693,,4.668e+4
221.27473,,1.253e+2
221.51055,,6.174e+2
221.810772,,9.984e+4
221.851209,,2.435e+2
222.469062,,1.163e+2
222.57017,5.437e+3,
222.677999,,3.385e+2
222.886745,,3.286e+4
222.985346,,3.458e+2
223.014604,,1.099e+2
223.039901,,4.597e+1
223.095279,,2.060e+2
223.158204,,1.460e+2
224.261764,,1.158e+5
224.271791,,3.356e+1
224.309395,,3.746e+1
224.4267,4.788e+2,
224.70017,,1.889e+5
224.896667,,1.916e+2
225.498778,,1.099e+2
226.321318,,1.180e+2
226.378578,,3.056e+2
226.536424,,7.884e+1
227.625797,,1.797e+4
227.833737,,8.326e+1
228.664494,,1.947e+2
229.10011,,1.110e+2
229.436758,,1.946e+4
233.617057,,5.719e+1
236.988902,,3.303e+4
237.630277,,1.233e+2
240.333713,,4.891e+2
242.44343,,7.650e+1
247.333345,,1.869e+2
248.579176,,2.173e+2
249.21428,1.251e+3,
250.627258,,6.335e+2
252.659232,,1.246e+2
252.930385,,2.610e+2
254.480482,,8.952e+2
259.052826,,9.180e+1
259.881194,,1.330e+2
260.026973,,2.487e+2
261.83685,4.361e+3,
268.929932,,2.722e+2
270.096252,,2.512e+2
270.318448,,1.790e+2
271.35074,,2.819e+2
271.87777,,1.970e+2
276.63913,1.364e+3,
276.966882,,3.092e+2
282.4368,2.347e+3,
296.1164,1.848e+3,
324.75358,1.988e+5,
327.39521,1.011e+5,
329.041683,,4.582e+0
330.08808,,2.243e+0
330.122844,,3.683e+0
331.62752,,2.845e+0
333.86475,,1.439e+0
336.5647,,1.544e+0
337.045289,,2.798e+0
337.4951,,1.894e+0
338.07116,,1.089e+0
388.41313,,1.572e+0
390.31759,,2.175e+0
392.06561,,1.291e+0
402.26286,1.282e+3,
406.26378,2.124e+3,
424.8956,2.133e+2,
427.5108,1.951e+3,
450.9382,3.008e+2,
453.07828,3.882e+2,
453.9699,5.177e+2,
458.6967,1.268e+3,
465.1122,2.148e+3,
467.170176,,5.809e+0
468.19935,,6.886e+0
470.4597,3.110e+2,
481.29474,,1.040e+1
485.12617,,5.179e+0
485.498743,,7.744e+0
490.142634,,8.866e+0
490.656612,,4.506e+0
490.973351,,5.488e+1
491.291987,,6.145e+0
491.58312,,3.506e+0
491.83778,,4.141e+1
492.64232,,5.569e+0
493.155505,,7.365e+0
493.16981,,4.323e+1
493.722031,,8.615e+0
495.37246,,5.417e+1
498.550498,,1.762e+1
500.679978,,1.323e+1
500.985058,,7.722e+0
501.26199,,1.714e+1
502.127849,,4.602e+0
505.179209,,3.429e+1
505.890923,,8.719e+0
506.545861,,2.258e+1
506.709423,,1.335e+1
508.84896,,5.294e+0
508.89421,,4.073e+0
509.381536,,5.018e+0
510.5548,2.851e+3,
515.3238,7.958e+3,
521.8202,1.491e+4,
522.007,1.990e+3,
529.2524,6.163e+2,
594.11951,,4.613e+0
600.01168,,7.007e+0
611.44911,,4.295e+0
615.03813,,5.840e+0
615.42211,,5.903e+0
618.68803,,4.548e+0
620.42577,,3.473e+0
621.69385,,1.579e+1
621.98488,,9.518e+0
626.18464,,6.002e+0
627.334763,,2.186e+1
630.10137,,1.292e+1
631.13059,,4.485e+0
631.24915,,4.030e+0
642.38846,,5.463e+0
644.17371,,1.088e+0
644.2964,,9.034e-1
646.6245,,6.985e-1
647.01383,,5.910e-1
652.382,,5.384e-1
653.00829,,7.836e-1
682.3201,,7.134e-1
739.98787,,2.221e+1
757.90283,,1.967e+1
765.23337,,2.146e+1
780.76526,,6.967e+0
782.5653,,6.330e+1
789.58039,,2.282e+1
790.25499,,3.520e+1
809.55268,,3.549e+1
827.75527,,3.170e+1