Ritz wavelength (nm),Eu I (7.3e-03),Eu II (7.9e-01)
237.284,6.901e+1,
237.5304,9.671e+1,
237.9645,1.220e+2,
270.9986,1.602e+2,
272.396,1.123e+2,
272.7783,,1.536e+5
273.137,2.989e+1,
273.2603,2.620e+1,
273.5256,5.640e+1,
274.3292,7.557e+1,
274.5614,3.634e+1,
274.7836,5.118e+1,
281.393,,1.222e+5
287.8858,4.190e+1,
289.2514,1.240e+2,
289.302,9.227e+1,
290.6669,,8.155e+4
290.899,1.109e+2,
305.898,5.399e+1,
310.617,1.166e+2,
311.1429,5.961e+2,
321.0571,1.945e+2,
321.2813,5.588e+2,
321.3753,2.079e+2,
332.2259,4.842e+1,
333.432,5.828e+2,
368.8433,,6.384e+4
372.4931,,2.936e+5
381.9672,,1.100e+6
390.7107,,4.716e+5
393.0499,,5.255e+5
397.1972,,5.808e+5
412.9725,,6.149e+5
420.504,,5.269e+5
432.997,1.012e+2,
443.558,,2.803e+5
452.258,,7.347e+4
459.398,8.565e+2,
459.403,1.052e+4,
462.723,8.313e+3,
466.188,6.197e+3,
490.085,2.407e+2,
501.315,5.894e+2,
502.291,6.098e+2,
506.794,1.116e+2,
511.434,3.137e+2,
512.909,3.839e+2,
513.348,5.549e+2,
516.005,4.978e+2,
516.669,3.453e+2,
521.511,7.756e+2,
522.345,3.256e+2,
526.639,3.157e+2,
527.196,1.312e+3,
527.247,1.422e+2,
528.283,5.005e+2,
528.724,5.419e+1,
529.367,1.176e+2,
535.168,1.562e+2,
535.283,1.569e+2,
535.76,5.902e+2,
536.078,1.783e+2,
536.158,3.889e+2,
539.289,1.951e+2,
540.277,7.111e+2,
542.693,2.558e+2,
545.152,8.435e+2,
545.292,6.144e+2,
547.232,2.325e+2,
548.864,2.909e+2,
549.52,1.098e+2,
552.662,6.161e+1,
553.327,4.424e+1,
554.743,4.168e+2,
557.034,4.444e+2,
557.713,5.549e+2,
558.003,3.268e+2,
558.624,2.147e+2,
558.681,1.393e+2,
559.976,4.102e+1,
561.88,6.472e+1,
563.251,1.521e+2,
564.578,4.665e+1,
567.381,1.356e+2,
573.083,1.157e+2,
573.899,3.374e+2,
576.52,1.031e+2,
580.027,1.269e+2,
583.098,1.712e+3,
590.991,3.239e+1,
592.651,1.293e+2,
596.372,1.956e+2,
596.711,9.881e+2,
597.274,3.869e+2,
598.314,4.516e+1,
599.283,7.810e+2,
601.253,2.561e+2,
601.815,1.188e+2,
602.897,3.685e+2,
605.732,3.786e+2,
607.556,1.454e+2,
608.385,4.267e+2,
609.935,5.065e+2,
611.877,2.740e+2,
612.464,9.982e+1,
618.814,5.923e+2,
619.506,2.420e+2,
620.758,5.383e+1,
623.05,3.760e+1,
623.372,1.672e+2,
625.044,5.660e+1,
626.225,5.699e+2,
629.974,2.884e+2,
633.581,1.632e+2,
635,2.664e+2,
635.588,1.223e+2,
636.924,1.270e+2,
638.379,2.557e+2,
640.09,2.914e+2,
640.611,8.161e+1,
641.003,3.776e+2,
641.127,3.950e+2,
643.993,4.017e+1,
645.792,4.270e+2,
650.15,1.585e+2,
651.957,2.614e+2,
656.781,2.125e+2,
659.374,1.356e+2,
669.396,3.734e+2,
674.483,8.414e+1,
686.455,9.249e+1,
710.644,3.093e+1,
717.553,7.404e+1,
726.276,8.066e+1,
864.269,1.145e+2,
887.022,4.838e+1,