Ritz wavelength (nm),Ge I (9.0e-02),Ge II (9.1e-01)
194.473,8.614e+2,
195.511502,1.069e+3,
198.826688,9.547e+2,
199.888698,3.619e+3,
204.17121,5.902e+3,
206.52147,4.561e+3,
206.86562,1.084e+4,
208.60206,3.798e+3,
209.42582,1.187e+4,
210.58238,1.535e+3,
225.60007,2.105e+2,
241.73674,9.114e+3,
249.796251,2.114e+3,
253.323048,1.626e+3,
258.918784,8.292e+2,
259.253402,2.152e+4,
265.117199,6.062e+4,
265.156832,1.842e+4,
269.134104,1.322e+4,
270.962371,2.087e+4,
275.458782,2.384e+4,
303.906713,4.553e+4,
312.481663,9.395e+2,
326.948887,6.285e+3,
422.656259,3.414e+3,
468.582849,2.059e+3,
474.18054,,1.303e+2
481.46084,,2.156e+2
482.40972,,2.436e+1
513.17516,,7.847e+2
517.84615,,5.369e+1
517.86474,,1.101e+3
589.33885,,3.402e+3
602.10412,,1.624e+3
633.63765,,1.203e+2
648.41813,,2.324e+2