Ritz wavelength (nm),Hg I (2.3e-01),Hg II (7.7e-01)
180.6157,,2.705e+0
180.82859,,4.406e+0
182.07207,,6.642e+1
182.38594,,1.059e+0
183.66749,,2.353e+0
184.06227,,1.681e+1
184.12046,,8.551e-1
184.74167,,1.263e+0
184.89335,,1.708e+1
184.949946,5.712e+5,
185.32708,,6.294e+0
186.07205,,1.360e+0
186.92264,,3.279e+3
186.98631,,2.227e+0
188.97042,,2.926e+0
189.20885,,1.540e+0
190.46997,,2.405e+1
191.59442,,3.658e-1
192.76003,,8.179e+0
192.90423,,4.717e-1
193.4593,,5.447e+0
194.02177,,7.877e+0
194.22729,,9.340e+5
194.86219,,1.219e+1
195.30662,,8.383e-1
195.73227,,2.904e+1
197.34791,,5.264e+0
197.37938,,1.856e+3
197.88015,,1.058e+1
198.78423,,3.526e+2
200.46684,,1.753e+0
202.22916,,1.219e+0
202.23291,,4.634e+0
202.68598,,9.567e+2
204.22672,,1.249e+0
205.28241,,5.082e+3
211.64243,,4.181e-1
218.08873,,4.597e-1
222.40134,,1.699e+0
222.4711,,3.441e+3
223.00285,,7.318e+0
225.27837,,3.934e+2
226.02943,,1.552e+3
226.36338,,4.279e+1
229.1965,,5.855e+0
232.7232,,1.166e-1
233.93706,,3.806e+0
240.73536,,1.058e+1
241.4143,,9.622e+0
245.88059,,9.308e-1
246.4358,,7.858e-1
246.76029,,1.761e+0
249.20665,,1.192e+1
251.47614,,1.466e+0
253.65209,3.958e+4,
255.28328,,1.336e+0
257.48412,,2.089e+0
260.30972,,6.018e+0
265.20421,2.860e+3,
265.513,8.111e+2,
267.09664,,2.581e-1
270.24445,,3.014e+0
276.19333,,2.799e+0
284.76754,,1.552e+3
289.36001,1.020e+3,
293.59022,,2.392e+0
294.70714,,1.070e+1
296.72832,4.140e+3,
302.15041,5.222e+3,
302.34748,6.894e+2,
303.49148,,9.750e-1
312.56732,9.827e+3,
320.81713,,5.161e+0
334.14834,1.092e+3,
349.38598,,3.335e+0
353.2599,,4.417e+0
360.57616,,5.899e+0
365.01579,2.677e+4,
365.48429,2.740e+3,
404.65643,5.676e+3,
434.74951,6.194e+2,
435.83363,1.536e+4,
542.5249,,7.009e+1
546.07498,1.344e+4,
567.7102,,1.241e+2
576.96095,3.514e+3,
579.06705,4.652e+3,
587.12779,,2.633e+1
588.8947,,2.278e+1
614.94726,,8.548e+1
629.123,,3.123e+0
734.6502,,2.028e+1
854.8669,,3.749e+0
952.0197,,1.687e+1