Ritz wavelength (nm),In I (3.7e-02),In II (9.6e-01)
193.618757,,2.341e+3
196.670862,,4.345e+3
197.732787,,6.585e+3
199.6968,,1.085e+0
203.9748,,3.302e+0
207.857186,,1.024e+4
220.5292,,2.345e+0
225.5805,,9.568e-1
230.606448,,2.707e+4
235.07423,,1.632e+2
238.2626,,9.103e+0
238.9534,3.343e+2,
245.2912,,1.438e+0
246.00684,3.575e+2,
246.0198,,2.014e+0
246.7998,2.611e+2,
252.135,8.912e+2,
256.01482,3.112e+3,
260.17368,6.390e+2,
266.8671,,2.556e+0
267.4571,,3.776e+0
268.312,,5.611e+0
270.4489,,1.252e+0
271.02683,6.406e+3,
271.39363,7.315e+2,
274.9733,,2.338e+1
275.38654,1.444e+3,
286.5684,,1.496e+0
289.017075,,5.135e+2
293.26169,2.543e+3,
294.10376,,1.880e+3
295.6016,,1.230e+0
296.617,,1.656e+0
303.93472,3.762e+4,
305.2226,,5.943e+0
309.9813,,2.124e+0
313.8609,,9.962e+0
314.6709,,1.394e+1
315.578,,3.709e+0
315.8396,,2.146e+1
325.6078,6.590e+4,
325.85519,1.017e+4,
326.403,,3.319e+0
369.39239,,3.873e+0
371.61349,,8.502e+0
379.52048,,1.510e+1
383.46308,,3.121e+2
384.2158,,2.998e+1
390.20794,,9.501e+0
405.69377,,4.945e+0
410.17504,2.417e+4,
451.12972,4.352e+4,
463.8162,,1.806e+2
464.4572,,1.986e+1
465.562,,2.627e+2
465.6736,,3.367e+1
468.1115,,3.664e+2
468.4791,,2.570e+1
551.935,,1.477e+0
585.31709,,3.366e+1
590.33916,,7.181e+1
591.52626,,2.404e+1
591.87693,,5.889e+1
609.59333,,1.344e+2
611.58707,,2.394e+1
675.184,,2.130e+0
676.585,,2.981e+0
678.368,,4.335e+0
689.15826,,4.373e+2
718.29048,,2.432e+2
735.0619,,2.735e+1
768.2979,,4.504e+1
777.694,,2.226e+0
784.0974,,1.503e+2
822.6982,,8.196e+1