Ritz wavelength (nm),K I (2.0e-02),K II (9.8e-01),K III (6.0e-09)
199.4284,,2.151e-3,
203.4671,,1.889e-4,
203.5413,,3.609e-3,
203.7001,,1.445e-3,
204.4823,,2.253e-4,
204.5288,,6.970e-3,
204.543,,2.344e-4,
207.6802,,3.760e-3,
207.8698,,9.190e-3,
208.1889,,6.695e-4,
208.4925,,1.451e-3,
208.9864,,2.928e-3,
212.9199,,1.813e-3,
213.0692,,1.120e-3,
213.2942,,2.543e-4,
213.3065,,4.213e-4,
213.9256,,4.735e-4,
213.9498,,1.565e-4,
214.2856,,1.510e-4,
214.4699,,3.538e-3,
255.001,,,3.621e-14
263.511,,,2.956e-14
268.996,,,1.714e-14
280.04,,,2.638e-15
290.336,,,7.060e-15
293.845,,,2.771e-14
295.432,,,5.714e-15
298.621,,,4.701e-14
299.242,,,2.360e-13
302.343,,,4.057e-14
305.202,,,1.209e-13
305.684,,,4.701e-14
306.125,,,1.751e-14
306.2141,,1.030e-2,
310.4998,,3.683e-3,
314.2706,,1.539e-3,
319.0041,,4.136e-3,
320.194,,,1.955e-14
320.935,,,5.267e-15
322.0533,,1.945e-3,
322.0626,,2.321e-3,
325.397,,,3.908e-14
327.879,,,7.358e-14
328.905,,,9.343e-14
329.0637,,4.744e-3,
332.24,,,1.617e-13
335.843,,,5.017e-14
336.433,,,3.577e-14
338.061,,2.062e-2,
338.485,,1.106e-2,
338.488,,4.052e-4,
340.4194,,3.859e-3,
342.082,,,1.863e-14
342.181,,,2.334e-14
344,,8.645e-3,
344.803,,,6.153e-15
346.831,,,3.160e-14
348.113,,,6.666e-15
351.382,,,2.936e-14
353.07,,7.204e-3,
356.215,,8.415e-4,
360.8923,,4.251e-3,
361.8485,,1.384e-2,
362.645,,1.153e-3,
368.1556,,4.688e-2,
372.1354,,1.119e-3,
376.7423,,5.987e-3,
378.3192,,4.477e-2,
380.0162,,2.748e-3,
381.657,,2.826e-3,
381.7547,,1.005e-2,
386.143,,2.210e-3,
387.8614,,7.680e-4,
388.3375,,1.267e-3,
389.7896,,1.315e-1,
392.6371,,1.359e-3,
393.441,,1.989e-3,
394.2537,,1.446e-3,
395.6111,,6.721e-4,
396.6691,,8.008e-3,
397.255,,1.698e-3,
397.2586,,1.331e-2,
399.4986,,1.082e-2,
400.122,,2.550e-2,
401.2013,,1.583e-2,
402.4903,,1.099e-3,
403.9671,,7.747e-3,
404.2611,,2.795e-2,
404.41422,2.671e+2,,
404.72132,1.245e+2,,
409.3698,,2.806e-3,
411.4946,,5.494e-2,
413.4705,,1.004e-1,
414.9086,,3.945e-2,
414.922,,8.374e-3,
418.6232,,6.502e-1,
422.296,,3.911e-2,
422.566,,3.412e-2,
426.334,,1.699e-1,
430.498,,3.137e-2,
430.911,,1.259e-1,
434,,1.531e-2,
436.296,,1.031e-3,
438.816,,3.418e-2,
446.67,,1.221e-2,
450.539,,2.677e-2,
460.849,,7.607e-2,
465.942,,9.406e-3,
482.924,,1.011e-1,
496.503213,4.102e+1,,
500.564,,4.455e-2,
505.625,,1.316e-2,
511.225448,5.536e+1,,
533.96873,6.356e+1,,
535.95761,7.130e+1,,
547.008,,8.307e-3,
578.23999,6.918e+1,,
580.17662,1.370e+2,,
583.18899,6.564e+1,,
612.028,,1.061e-1,
624.655,,1.439e-2,
630.728,,3.872e-2,
642.798,,9.848e-3,
691.10815,2.069e+2,,
693.8764,4.102e+2,,
766.48991,3.733e+4,,
769.89646,1.858e+4,,
825.016,1.473e+2,,
825.174,1.024e+2,,
850.344,2.119e+2,,
850.511,1.481e+2,,
890.218,3.516e+2,,
890.401,2.459e+2,,
959.569,6.535e+2,,
959.781,4.557e+2,,