Ritz wavelength (nm),Zr III (3.5e-02)
180.51933,1.968e+3
183.1808,4.375e+1
185.33593,9.953e+1
186.16739,1.607e+0
186.39718,9.659e+2
186.5382,1.990e+0
187.69671,7.894e+1
188.09417,4.510e-1
189.19478,3.175e+0
191.417,8.047e-1
192.19208,3.002e+2
193.24911,6.587e+0
193.42509,3.016e+0
193.5099,2.370e+0
193.64335,1.140e+1
193.6639,2.210e+2
193.72145,3.005e+2
194.02357,8.593e+2
194.10529,1.133e+3
194.60466,1.346e+1
194.65724,2.262e+2
194.6909,1.618e+0
196.12416,4.900e+0
196.1922,1.668e+1
196.28295,1.878e+0
196.6201,2.760e+2
196.77513,8.852e-1
197.4912,6.902e+0
198.30591,9.592e-1
198.9788,1.997e+1
199.08806,1.406e+0
199.442,5.735e-1
199.94697,1.444e+0
200.19097,2.171e+1
200.32325,5.022e-1
200.68101,1.436e+3
200.81676,3.553e+0
201.32455,2.227e+0
201.65668,2.018e+0
202.67044,1.297e+1
202.98654,2.568e+0
203.00414,1.065e+0
203.53512,2.892e+1
203.68605,1.054e+1
204.3736,7.871e-1
205.6014,5.306e+0
205.86634,1.864e+0
206.08187,3.454e+2
206.14078,3.751e+0
206.1478,3.815e-1
207.0359,3.478e+1
207.40608,4.478e+0
207.78796,2.813e+2
207.7924,7.188e+0
208.0917,1.756e+1
208.14814,1.636e+0
208.17362,2.458e+0
208.67794,2.674e+3
208.94512,3.735e+0
209.69517,8.911e+0
210.2283,1.524e+2
210.30884,7.032e+0
210.3295,1.951e-2
210.4198,9.784e-1
210.8414,8.270e-1
211.39985,4.429e+1
211.40263,4.257e+0
211.4045,1.147e+0
211.40808,1.563e+0
211.99823,3.512e+0
212.5068,6.447e-1
212.52353,2.347e+0
213.78126,1.399e+0
213.8501,1.983e-1
214.396,1.685e+0
215.19921,1.344e-1
216.21308,2.608e+0
217.5694,8.359e+0
217.8509,9.280e-2
219.1031,6.348e+0
219.1959,4.017e+0
220.61904,2.358e+0
220.701,1.796e-1
221.8341,2.645e+0
222.13817,1.912e-1
222.31405,7.072e-1
222.8019,1.402e+0
224.5258,2.318e+0
225.09749,2.297e+0
225.2211,1.059e+0
225.77287,1.719e+0
227.6487,1.957e+0
228.3555,1.368e+0
230.1463,3.042e+0
230.8113,9.453e+1
236.378,1.702e+0
240.58274,3.509e+2
240.6212,3.122e+2
242.06718,3.687e+2
243.8623,4.530e+0
244.45955,4.795e+2
244.88859,1.035e+3
259.36915,1.003e+3
262.057,3.407e+3
262.1237,1.286e+2
262.82629,6.722e+2
264.3806,1.879e+3
265.64892,1.102e+3
266.42859,1.176e+3
268.2181,1.960e+3
268.6312,9.120e+2
269.0525,1.090e+3
269.83232,5.146e+2
270.9084,4.576e+2
271.5806,4.804e+2
272.01123,2.810e+2
273.5809,9.593e+2
277.5283,8.947e+1
283.623,5.229e+2
286.9127,4.183e+2
288.67297,6.831e+1
327.89,3.434e+2
349.7885,5.939e+2
364.2755,1.225e-2
364.3606,2.085e-2
366.4539,8.423e-3
370.1668,1.564e-2
371.4661,1.035e-2
372.6514,3.013e-2
373.2111,5.239e-2
374.1972,9.034e-2
378.0172,5.247e-2
378.6191,7.849e-3
379.46,4.498e-2
382.4611,1.449e-2
382.7722,2.692e-2
382.923,6.206e-2
383.0087,1.633e-2
383.7038,7.205e-3
384.2399,2.186e-2
392.0624,4.003e-2
392.5804,9.038e-3
396.3178,5.963e-2
397.1691,8.741e-3
397.3984,1.938e-2
401.632,7.734e-3
401.8142,6.459e-3
403.2482,4.192e-2
403.3591,1.433e-2
403.6779,2.413e-2
408.7114,8.351e-3
412.5432,1.356e-2
412.6379,3.707e-2
413.2087,1.307e-2
415.3368,6.583e-3
416.0827,2.741e-2
417.1353,5.983e-3
417.2872,2.546e-2
419.3504,2.295e-2
419.7309,1.732e-2
420.3546,1.158e-2
423.5695,1.927e-2
434.2686,5.295e-2
440.7385,7.085e-3
456.1637,1.437e-2
460.8973,1.531e-2